Component_ID,Component_Name,Product_Model_Name,Material_Spec,Feature_Spec,Product_Description,Cross_Reference_Compatibility,Category_Key,SubCategory_Key,Quality_Key,Unit_of_Measure,Price_Local,Currency,Price_USD,Manufacturer,Country_Source,URL_Image,Notes,Category_SubCategory_Key
COMP-BATHROOM_FIXTURES-SHOWER-BASIC-URUGUAY-FERRUM-FSTYLE,Columna de Ducha Basic,Ferrum F-Style Termostatica BSC,Acero cromado y ABS,"Cabezal lluvia, ducha manual, control termostático (versión basic)",Sistema de ducha de lujo para baños modernos.,Compatible con sistemas de presión estándar,BATHROOM_FIXTURES,SHOWER,BASIC,Set,14950,UYU,,Ferrum,188,https://www.ferrum.com.uy/ducha-fstyle,Incluye accesorios de fijación,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-AR-DECA-DECAACCDC01,Set Accesorios Básico Deca Bento,Deca ACC-DC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Set Accesorios Básico Deca Bento,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$17,589",ARS,,Deca,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-AR-INCEPA-INCEPAACCIC01,Kit Toallero y Portarrollo Incepa,Incepa ACC-IC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Kit Toallero y Portarrollo Incepa,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$21,107",ARS,,Incepa,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-BR-DECA-DECAACESSORIOSECONOMICOS,Acessórios,Deca - Acessórios Econômicos,Aço inoxidável,Acessórios simples,Acessórios de aço inoxidável simples para banheiros básicos,Compatível com instalações padrío,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,$30,BRL,,Deca,24,,Acessórios básicos para banheiros econômicos,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-CL-DECA-DECABENTOACCESORIOS,Accesorios Básicos 2,Deca Bento Accesorios,Acero inoxidable,Certificaciones: ISO 9001; Resistente a corrosión,Set de toallero portarrollos y jabonera para baños básicos.,Compatible con baños estándar,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$14,000",CLP,,Deca,35,https://www.mercadolibre.cl/accesorios-deca-bento,Estilo moderno,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-CL-INCEPA-INCEPAESSENZAACCESORIOS,Accesorios Básicos 3,Incepa Essenza Accesorios,Acero inoxidable,Certificaciones: ISO 9001; Resistente a corrosión,Set de toallero portarrollos y jabonera para baños básicos.,Compatible con baños estándar,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$14,500",CLP,,Incepa,35,https://www.linio.cl/c/plomeria-bano/accesorios-incepa,Fácil instalación,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-CL-ROCA-ROCATHEGAPACCESORIOS,Accesorios Básicos 1,Roca The Gap Accesorios,Acero inoxidable,Certificaciones: ISO 9001; Resistente a corrosión,Set de toallero portarrollos y jabonera para baños básicos.,Compatible con baños estándar,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$15,000",CLP,,Roca,35,https://www.sodimac.cl/sodimac-cl/product/123456789/Accesorios-Roca-The-Gap,Diseño funcional,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-PY-DECA-DECAACCDC01,Set Accesorios Básico Deca Bento,Deca ACC-DC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Set Accesorios Básico Deca Bento,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$120,107",PYG,,Deca,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-PY-INCEPA-INCEPAACCIC01,Kit Toallero y Portarrollo Incepa,Incepa ACC-IC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Kit Toallero y Portarrollo Incepa,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,"$144,129",PYG,,Incepa,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-UY-DECA-DECAACCDC01,Set Accesorios Básico Deca Bento,Deca ACC-DC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Set Accesorios Básico Deca Bento,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,$629,UYU,,Deca,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-ACCESSORIES-BASIC-UY-INCEPA-INCEPAACCIC01,Kit Toallero y Portarrollo Incepa,Incepa ACC-IC01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Kit Toallero y Portarrollo Incepa,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,ACCESSORIES,BASIC,Pieza,$755,UYU,,Incepa,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|ACCESSORIES
COMP-BATHROOMFIXTURES-BASIN-BASIC-AR-GENERICARG-BASICOVALUNDERMOUNT,Basin Undermount 60cm,Basic Oval Undermount,Vitreous China,White Oval 55x40 Approx,Basic undermount sink,Std Cutout Template,BATHROOM_FIXTURES,BASIN,BASIC,unit,"$15,000",ARS,,GenericARG,7,,,BATHROOM_FIXTURES|BASIN
