Service_Catalogue_ID,Service_Name_EN,Service_Name_SP,Service_Name_PT,Service_Description_EN,Service_Description_SP,Service_Description_PT,Service_Category_Ref,Service_SubCategory_Ref,Service_Provider,URL_Image,Country_Source,Province_State_Ref,Pricing_Unit,Price_Local,Currency,Notes_Service_Catalogue
SERV-001,Permits & Municipal Fees,Permisos y Tasas Municipales,Taxas e Licenças Municipais,Fees required for construction permits and municipal approvals.,Tasas necesarias para permisos de construcción y aprobaciones municipales.,Taxas exigidas para licenças de construção e aprovaçíµes municipais.,UTILITIES,ELECTRIC_SERVICE_CONNECTION,charlie@hausa.homes,,7,,Fixed Fee,10000,ARS,Standard estimate based on project value subtotal
SERV-002,Professional Certificates (Arch/Eng),Certificados Profesionales (Arq/Ing),Certificados Profissionais (Arq/Eng),Architectural and engineering certification services.,Servicios de certificación de arquitectura e ingenierí­a.,Serviços de certificação de arquitetura e engenharia.,PROJECT_MANAGEMENT,COST_ESTIMATION,charlie@hausa.homes,,7,,Fixed Fee,60000,ARS,Required sign-offs and stamps
SERV-003,Workshop Assembly Labor Overhead,Gastos Generales Mano de Obra Taller,Custos de Mão de Obra Oficina,Overhead costs related to workshop labor during prefabrication.,Costos generales relacionados con la mano de obra en taller durante la prefabricación.,Custos gerais relacionados í mão de obra da oficina durante a pré-fabricação.,GENERAL_SERVICES,MATERIAL_HANDLING,charlie@hausa.homes,,7,,Fixed Fee,60000,ARS,Covers indirect workshop labor costs
SERV-004,Workshop Utilities Overhead,Gastos Generales Servicios Taller,Custos de Utilidades Oficina,Utility overheads associated with workshop operations.,Gastos generales de servicios en operaciones del taller.,Custos com utilidades nas operaçíµes da oficina.,GENERAL_SERVICES,EQUIPMENT_RENTAL,charlie@hausa.homes,,7,,Fixed Fee,10000,ARS,Pro-rata share of workshop power/water etc.
SERV-005,Basic Groundworks (<5% Slope),Movimiento de Tierra Básico (<5% Pendiente),Terraplenagem Bí¡sica (<5% Inclinação),Standard ground preparation services for flat sites.,Servicios estí¡ndar de preparación de terrenos para sitios planos.,Serviços padrão de preparação de solo para terrenos planos.,SITE_PREPARATION,CLEARING,charlie@hausa.homes,,7,,Fixed Fee,60000,ARS,Assumes minor leveling
SERV-006,Freight & Crane (Radius <50km),Flete y Grúa (Radio <50km),Frete e Guindaste (Raio <50km),Freight and crane logistics within 50km of the site.,Logí­stica de flete y grúa dentro de un radio de 50 km del sitio.,Logí­stica de frete e guindaste em um raio de 50 km do local.,GENERAL_SERVICES,EQUIPMENT_RENTAL,charlie@hausa.homes,,7,,Fixed Fee,60000,ARS,Estimate for local delivery and standard crane
SERV-007,Site Assembly Labor Overhead,Gastos Generales Mano de Obra Sitio,Custos de Mão de Obra no Local,Labor-related overheads for on-site construction tasks.,Costos generales relacionados con la mano de obra en sitio.,Custos gerais relacionados í mão de obra no canteiro de obras.,GENERAL_SERVICES,SITE_CLEANUP,charlie@hausa.homes,,7,,Fixed Fee,6000,ARS,Covers indirect site assembly labor costs
SERV-008,General Contingency / Extras,Contingencia General / Extras,Contingéncia Geral / Extras,Extra budget reserved for contingencies and unplanned tasks.,Presupuesto adicional reservado para contingencias y tareas no planificadas.,Orçamento extra reservado para imprevistos e tarefas não planejadas.,PROJECT_MANAGEMENT,SAFETY_MANAGEMENT,charlie@hausa.homes,,7,,Fixed Fee,60000,ARS,Standard buffer for unforeseen items
SERV-009,Permits & Municipal Fees,Permisos y Tasas Municipales,Taxas e Licenças Municipais,Fees required for construction permits and municipal approvals.,Tasas necesarias para permisos de construcción y aprobaciones municipales.,Taxas exigidas para licenças de construção e aprovaçíµes municipais.,UTILITIES,ELECTRIC_SERVICE_CONNECTION,charlie@hausa.homes,,188,,Fixed Fee,60000,UYU,Standard estimate based on project value subtotal
SERV-010,Professional Certificates (Arch/Eng),Certificados Profesionales (Arq/Ing),Certificados Profissionais (Arq/Eng),Architectural and engineering certification services.,Servicios de certificación de arquitectura e ingenierí­a.,Serviços de certificação de arquitetura e engenharia.,PROJECT_MANAGEMENT,COST_ESTIMATION,charlie@hausa.homes,,188,,Fixed Fee,25000,UYU,Required sign-offs and stamps
